uID,variable1,variable2,factor
1350,0.4,2,SameKiss
1351,0.2,3,SameKiss
1354,0.5,5,SameKiss
1356,0.6,4,SameKiss
1358,0,3,SameKiss
1361,0.5,1,SameKiss
1363,0.6,1,SameKiss
1365,0.3,1,SameKiss
1368,0.5,6,SameKiss
1369,0.4,1,SameKiss
1371,0.4,7,SameKiss
1373,0.1,2,SameKiss
1374,0.5,3,SameKiss
1375,0.5,4,SameKiss
1376,0.6,1,SameKiss
1378,0.5,1,SameKiss
1379,0.1,2,SameKiss
1384,0.2,1,SameKiss
1387,0.4,1,SameKiss
1388,0.2,7,SameKiss
1391,0.2,5,SameKiss
1392,0.3,7,SameKiss
1395,0.4,5,SameKiss
1397,0.1,1,SameKiss
1400,0.4,1,SameKiss
1402,0.2,1,SameKiss
1404,0.7,2,SameKiss
1405,0.5,5,SameKiss
1406,0,4,SameKiss
1408,0.2,1,SameKiss
1409,0.3,1,SameKiss
1411,0.4,2,SameKiss
1412,0.8,5,SameKiss
1413,0.3,5,SameKiss
1414,0.3,1,SameKiss
1415,0.5,2,SameKiss
1416,0,1,SameKiss
1417,0.4,3,SameKiss
1418,0.3,3,SameKiss
1419,0.1,2,SameKiss
1422,0.3,5,SameKiss
1423,0.5,1,SameKiss
1426,0.2,5,SameKiss
1427,0.3,1,SameKiss
1428,0.2,1,SameKiss
1430,0.2,3,SameKiss
1434,0.1,3,SameKiss
1436,0.6,3,SameKiss
1437,0.2,1,SameKiss
1440,0.3,1,SameKiss
1441,0.4,2,SameKiss
1442,0.1,1,SameKiss
1445,0.1,1,SameKiss
1447,0.1,2,SameKiss
1452,0.1,1,SameKiss
1454,0.3,3,SameKiss
1456,0.4,3,SameKiss
1457,0.1,2,SameKiss
1458,0.1,3,SameKiss
1459,0.1,1,SameKiss
1461,0.1,6,SameKiss
1462,0.1,2,SameKiss
1463,0.3,2,SameKiss
1464,0.1,6,SameKiss
1465,0.3,2,SameKiss
1466,0.4,3,SameKiss
1468,0.1,3,SameKiss
1469,0.2,5,SameKiss
1471,0.2,1,SameKiss
1473,0.1,4,SameKiss
1474,0.1,1,SameKiss
1476,0.2,3,SameKiss
1481,0.1,2,SameKiss
1482,0.5,7,SameKiss
1483,0.1,2,SameKiss
1485,0.2,3,SameKiss
1486,0.3,5,SameKiss
1490,0.3,2,SameKiss
1491,0.4,2,SameKiss
1492,0.1,3,SameKiss
1495,0.4,4,SameKiss
1496,0.7,3,SameKiss
1497,0.3,2,SameKiss
1498,0.5,4,SameKiss
1499,0.3,3,SameKiss
1501,0.2,2,SameKiss
1503,0.1,1,SameKiss
1504,0.1,3,SameKiss
1506,0.3,1,SameKiss
1508,0.5,4,SameKiss
1513,0.1,7,SameKiss
1514,0.2,2,SameKiss
1516,0.6,2,SameKiss
1517,0.2,1,SameKiss
1518,0.2,2,SameKiss
1520,0.2,4,SameKiss
1521,0,2,SameKiss
1522,0.1,6,SameKiss
1524,0.3,1,SameKiss
1525,0,3,SameKiss
1527,0.1,2,SameKiss
1528,0.2,2,SameKiss
1536,0.1,4,SameKiss
1537,0,4,SameKiss
1543,0.4,1,SameKiss
1544,0.6,1,SameKiss
1547,0.1,1,SameKiss
1548,0.3,1,SameKiss
1550,0,3,SameKiss
1552,0.3,2,SameKiss
1553,0,3,SameKiss
1554,0.5,2,SameKiss
1555,0.4,3,SameKiss
1556,0.9,4,SameKiss
1557,0.4,2,SameKiss
1558,0.2,1,SameKiss
1559,0.2,4,SameKiss
1560,0.2,3,SameKiss
1561,0.4,5,SameKiss
1562,0.5,4,SameKiss
1563,0.3,3,SameKiss
1565,0.3,2,SameKiss
1566,0.4,2,SameKiss
1567,0.4,3,SameKiss
1568,0.9,5,SameKiss
1569,0.6,1,SameKiss
1570,0.1,3,SameKiss
1571,0,2,SameKiss
1573,0.9,4,SameKiss
1576,0.3,4,SameKiss
1577,0.3,1,SameKiss
1578,0.1,1,SameKiss
1580,0.7,2,SameKiss
1581,0.5,2,SameKiss
1583,0.3,5,SameKiss
1585,0.3,4,SameKiss
1586,0.2,1,SameKiss
1587,0.2,3,SameKiss
1588,0.9,2,SameKiss
1589,0.5,7,SameKiss
1595,0.7,2,SameKiss
1599,0.5,2,SameKiss
1600,0.1,4,SameKiss
1601,0,2,SameKiss
1603,0.2,2,SameKiss
1606,0.2,2,SameKiss
1609,0.5,4,SameKiss
1610,0.5,3,SameKiss
1611,0.8,3,SameKiss
1612,0.2,3,SameKiss
1614,0,2,SameKiss
1615,0,4,SameKiss
1616,0.5,6,SameKiss
1618,0.3,2,SameKiss
1619,0.5,5,SameKiss
1620,0.9,2,SameKiss
1623,0.3,2,SameKiss
1624,0.3,2,SameKiss
1627,0.3,3,SameKiss
1629,0.5,5,SameKiss
1630,0.6,5,SameKiss
1631,0.1,3,SameKiss
1632,0.2,4,SameKiss
1633,0.4,2,SameKiss
1634,0.2,4,SameKiss
1639,0.1,3,SameKiss
1640,0.7,3,SameKiss
1643,0.4,1,SameKiss
1644,0.2,4,SameKiss
1645,0.2,2,SameKiss
1646,0.2,1,SameKiss
1647,0.3,2,SameKiss
1649,0.2,4,SameKiss
1650,0.7,2,SameKiss
1655,0.1,4,SameKiss
1656,0.7,3,SameKiss
1657,0.3,1,SameKiss
1658,0.7,2,SameKiss
1659,0.7,2,SameKiss
1661,0.7,5,SameKiss
1662,0,3,SameKiss
1663,0.3,2,SameKiss
1664,0.4,1,SameKiss
1666,0.1,5,SameKiss
1667,0.9,1,SameKiss
1668,0.2,2,SameKiss
1669,0.3,2,SameKiss
1670,0.6,3,SameKiss
1671,0.4,5,SameKiss
1675,0.2,2,SameKiss
1677,0.2,5,SameKiss
1678,0.3,2,SameKiss
1679,0.4,2,SameKiss
1681,0.2,2,SameKiss
1682,0.5,4,SameKiss
1685,0.4,4,SameKiss
1686,0.5,5,SameKiss
1687,0.6,4,SameKiss
1688,0.1,2,SameKiss
1689,0,3,SameKiss
1693,0.5,7,SameKiss
1694,0.3,5,SameKiss
1696,0.5,2,SameKiss
1697,0.2,5,SameKiss
1699,0.4,4,SameKiss
1700,0.1,7,SameKiss
1702,0.5,2,SameKiss
1703,0.1,5,SameKiss
1706,0.1,3,SameKiss
1707,0.4,7,SameKiss
1712,0.4,1,SameKiss
1713,0.6,1,SameKiss
1715,0.2,1,SameKiss
1718,0,5,SameKiss
1721,0.5,3,SameKiss
1723,0.3,3,SameKiss
1724,0.3,6,SameKiss
1725,0.2,5,SameKiss
1728,0,2,SameKiss
1729,0.4,3,SameKiss
1731,0.2,1,SameKiss
1732,0,3,SameKiss
1733,0.3,2,SameKiss
1734,0.3,3,SameKiss
1737,0.6,1,SameKiss
1738,0.1,2,SameKiss
1740,0.4,3,SameKiss
1741,0.4,2,SameKiss
1742,0.2,4,SameKiss
1746,0.1,1,SameKiss
1750,0.7,4,SameKiss
1752,0.2,6,SameKiss
1758,0.1,6,SameKiss
1766,0.5,3,SameKiss
1770,0.6,1,SameKiss
1771,0.3,3,SameKiss
1772,0.2,2,SameKiss
1773,0.5,6,SameKiss
