"","lab","High-Frequency Scale_cases","High-Frequency Scale_n","Low-Frequency Scale_cases","Low-Frequency Scale_n","pdiff","ci.low","ci.high","other_lab_capture","meta_effect","meta_analysis_capture","same_size_replication_capture","same_size_replication_count","Country","OnlineorLab","USAorNot"
"23","swps",12,36,0,35,0.333333333333333,0.169042513992477,0.496660021288435,0.416666666666667,0.145696987700978,FALSE,0.574,500,"Poland","Lab","NotUSA"
"24","swpson",8,60,3,67,0.0885572139303483,-0.0130815189550964,0.200802914559929,0.638888888888889,0.151595275203054,TRUE,0.684,500,"International","Online","NotUSA"
"25","tamu",8,73,2,83,0.0854926555537217,0.00575910653100992,0.179171929189559,0.555555555555556,0.151998998361964,TRUE,0.552,500,"USA","Lab","USA"
"26","tamuc",13,39,1,39,0.307692307692308,0.142157452744421,0.465997550938087,0.527777777777778,0.146071120589219,TRUE,0.67,500,"USA","Lab","USA"
"27","tamuon",20,112,6,100,0.118571428571429,0.030354062543678,0.205939946258456,0.611111111111111,0.150890815613565,TRUE,0.746,500,"USA","Online","USA"
"28","tilburg",11,35,1,45,0.292063492063492,0.132955110584392,0.458582770266221,0.583333333333333,0.146559639863065,TRUE,0.688,500,"Netherlands","Lab","NotUSA"
"29","ufl",13,58,1,60,0.207471264367816,0.0936869340075358,0.33071043532619,0.722222222222222,0.147974266232658,TRUE,0.884,500,"USA","Lab","USA"
"30","unipd",15,56,2,78,0.242216117216117,0.125413524900986,0.371645223158004,0.611111111111111,0.146992359478455,TRUE,0.792,500,"Italy","Online","NotUSA"
"31","uva",1,28,0,39,0.0357142857142857,-0.0586437177574668,0.177121977433533,0.555555555555556,0.153055516929518,TRUE,0.534,500,"USA","Lab","USA"
"32","wisc",8,41,3,50,0.135121951219512,-0.00288737861030469,0.285389086490887,0.805555555555556,0.150062252533116,TRUE,0.924,500,"USA","Lab","USA"
"33","wku",17,46,4,51,0.291133844842285,0.127383645374997,0.443180711537292,0.611111111111111,0.146531962860433,TRUE,0.764,500,"USA","Lab","USA"
"34","wl",1,37,0,52,0.027027027027027,-0.0452709099384483,0.138240698637305,0.388888888888889,0.153748522802905,FALSE,0.286,500,"USA","Lab","USA"
"35","wpi",2,40,0,41,0.05,-0.0429939605011436,0.16503877369141,0.527777777777778,0.152980199620666,TRUE,0.426,500,"USA","Lab","USA"
