uID,CounterBalance,Prominent2nd,Prominent1st,Asymmetry
1236,CBA,9.6,9.27272727272727,0.327272727272726
1237,CBA,10.4,9.36363636363636,1.03636363636364
1239,CBA,10,10,0
1243,CBB,9,9.3,-0.300000000000001
1247,CBA,10.4,9.90909090909091,0.490909090909092
1252,CBA,10,10,0
1253,CBA,2,2,0
1257,CBB,10,10,0
1259,CBB,8.54545454545455,9.4,-0.854545454545455
1264,CBA,7.7,6.81818181818182,0.881818181818182
1265,CBA,8.1,8,0.0999999999999996
1268,CBB,9.36363636363636,9.2,0.163636363636364
1269,CBA,8.4,9,-0.6
1274,CBB,10,10,0
1276,CBB,2,2,0
1277,CBA,9,10,-1
1279,CBB,5.36363636363636,5.7,-0.336363636363637
1283,CBA,6.4,8.27272727272727,-1.87272727272727
1284,CBA,8.8,8.36363636363636,0.436363636363637
1293,CBB,1.72727272727273,1,0.727272727272727
1295,CBA,12.7,12.5454545454545,0.154545454545454
1300,CBA,12.5,10.0909090909091,2.40909090909091
1301,CBA,9.4,10.6363636363636,-1.23636363636364
1302,CBA,5.2,5.90909090909091,-0.709090909090909
1303,CBB,9,8.7,0.300000000000001
1307,CBB,9.45454545454546,12,-2.54545454545455
1309,CBB,6.63636363636364,9.1,-2.46363636363636
1310,CBB,7.45454545454545,8.7,-1.24545454545455
1313,CBB,9.27272727272727,9,0.272727272727273
1316,CBB,8.72727272727273,7.8,0.927272727272727
1317,CBA,9.3,13.9090909090909,-4.60909090909091
1325,CBA,10,9.18181818181818,0.818181818181818
1327,CBA,9.3,9.63636363636364,-0.336363636363636
1328,CBB,8.18181818181818,9.7,-1.51818181818182
1330,CBA,12.3,13,-0.699999999999999
1332,CBA,3.8,6.81818181818182,-3.01818181818182
1337,CBA,9.3,4.90909090909091,4.39090909090909
1339,CBB,8.18181818181818,6.1,2.08181818181818
1342,CBB,9.09090909090909,10.4,-1.30909090909091
1344,CBA,13,11.7272727272727,1.27272727272727
1351,CBA,10.3,9.36363636363636,0.936363636363637
1355,CBA,10.2,7,3.2
1356,CBB,6.81818181818182,6.7,0.118181818181818
1357,CBA,11.5,12.9090909090909,-1.40909090909091
1358,CBA,6.9,6.72727272727273,0.172727272727273
1359,CBA,8.6,7.45454545454545,1.14545454545455
1361,CBA,9.3,10,-0.699999999999999
1362,CBB,10.6363636363636,15.4,-4.76363636363636
1369,CBA,8.6,8.90909090909091,-0.309090909090909
1374,CBB,9.18181818181818,10.3,-1.11818181818182
1375,CBA,10,9.45454545454546,0.545454545454545
1378,CBB,9.81818181818182,8.4,1.41818181818182
1380,CBA,6.9,4.27272727272727,2.62727272727273
1383,CBB,7.09090909090909,10,-2.90909090909091
1384,CBA,11,11.3636363636364,-0.363636363636363
1386,CBB,12.9090909090909,12.2,0.709090909090909
1390,CBA,13.3,9.72727272727273,3.57272727272727
1392,CBB,11.5454545454545,13.1,-1.55454545454545
1394,CBA,12.7,8.36363636363636,4.33636363636364
1395,CBA,13.5,8.72727272727273,4.77272727272727
1396,CBB,4.72727272727273,6.7,-1.97272727272727
1397,CBA,13.2,12.1818181818182,1.01818181818182
1404,CBA,9.9,10.2727272727273,-0.372727272727273
1407,CBB,8.90909090909091,10.9,-1.99090909090909
1409,CBA,10.2,9.90909090909091,0.290909090909091
1410,CBB,8.63636363636364,12,-3.36363636363636
1411,CBB,12.0909090909091,11.3,0.790909090909091
1413,CBA,11.8,11.8181818181818,-0.0181818181818176
1419,CBA,14.3,12.8181818181818,1.48181818181818
1420,CBB,16.2727272727273,15.8,0.472727272727273
1423,CBB,8.27272727272727,6.8,1.47272727272727
1427,CBB,9.72727272727273,8.2,1.52727272727273
1431,CBA,12.2,9.36363636363636,2.83636363636364
1433,CBB,8.54545454545455,9.6,-1.05454545454545
1438,CBA,4.9,8.27272727272727,-3.37272727272727
1440,CBB,13.4545454545455,14.5,-1.04545454545455
1441,CBA,11,10,1
1442,CBA,9.6,8.63636363636364,0.963636363636363
1448,CBB,6.54545454545455,7.2,-0.654545454545454
