"","Participant_ID","referrer","ClipboardWeight","IIResponse","CBReject","age","year","Genderfactor","ethnicity","AttentionCheck"
"118","118","BradleyUniversity","Heavy Clipboard",7,"Include","19","Sophomore","Female","White, non-Hispanic or latino","Fail"
"121","120","BradleyUniversity","Heavy Clipboard",7,"Include",NA,NA,NA,NA,NA
"122","121","BradleyUniversity","Light Clipboard",6,"Include","19","First-year","Male","Latino or Hispanic","Fail"
"124","14","BradleyUniversity","Heavy Clipboard",6,"Include","19","First-year","Female","White, non-Hispanic or latino","Pass"
"125","15","BradleyUniversity","Light Clipboard",6,"Include","18","First-year","Female","White, non-Hispanic or latino","Pass"
"126","16","BradleyUniversity","Heavy Clipboard",6,"Include","19","Sophomore","Female","White, non-Hispanic or latino","Pass"
"127","17","BradleyUniversity","Light Clipboard",6,"Include",NA,NA,NA,NA,NA
"128","18","BradleyUniversity","Heavy Clipboard",6,"Include","19","Sophomore","Female","Asian-American","Pass"
"129","19","BradleyUniversity","Light Clipboard",7,"Include","18","First-year","Female","Latino or Hispanic","Pass"
"130","2","BradleyUniversity","Heavy Clipboard",6,"Include","19","Sophomore","Female","White, non-Hispanic or latino","Fail"
"132","21","BradleyUniversity","Light Clipboard",5,"Include","18 almost 19","First-year","Female","White, non-Hispanic or latino","Pass"
"133","22","BradleyUniversity","Heavy Clipboard",6,"Include","18","First-year","Male","White, non-Hispanic or latino","Fail"
"134","23","BradleyUniversity","Light Clipboard",6,"Include","18","First-year",NA,"White, non-Hispanic or latino","Fail"
"136","25","BradleyUniversity","Light Clipboard",7,"Include","19","Sophomore","Male","White, non-Hispanic or latino","Fail"
"139","28","BradleyUniversity","Heavy Clipboard",7,"Include","19","First-year","Female","White, non-Hispanic or latino","Pass"
"141","3","BradleyUniversity","Light Clipboard",6,"Include","19","Sophomore","Female","White, non-Hispanic or latino",NA
"142","30","BradleyUniversity","Heavy Clipboard",7,"Include","18","First-year","Male","White, non-Hispanic or latino","Pass"
"143","31","BradleyUniversity","Light Clipboard",7,"Include","18","First-year","Female","White, non-Hispanic or latino","Pass"
"144","32","BradleyUniversity","Heavy Clipboard",6,"Include","18","First-year","Male","Other","Fail"
"145","33","BradleyUniversity","Light Clipboard",6,"Include",NA,NA,NA,NA,NA
"146","34","BradleyUniversity","Heavy Clipboard",7,"Include","20","Sophomore","Female","Asian-American","Fail"
"147","35","BradleyUniversity","Light Clipboard",8,"Include",NA,NA,NA,NA,NA
"148","36","BradleyUniversity","Heavy Clipboard",7,"Include",NA,NA,NA,NA,NA
"149","37","BradleyUniversity","Light Clipboard",7,"Include","21","Senior","Female","White, non-Hispanic or latino","Pass"
"150","38","BradleyUniversity","Heavy Clipboard",7,"Include","18","First-year","Female","White, non-Hispanic or latino","Pass"
"151","39","BradleyUniversity","Light Clipboard",7,"Include","18","First-year","Male","White, non-Hispanic or latino","Fail"
"152","4","BradleyUniversity","Heavy Clipboard",6,"Include",NA,NA,NA,NA,NA
"153","40","BradleyUniversity","Heavy Clipboard",7,"Include","20","Sophomore","Female","Other","Fail"
"154","41","BradleyUniversity","Light Clipboard",7,"Include","19","First-year","Female","White, non-Hispanic or latino","Fail"
"155","42","BradleyUniversity","Heavy Clipboard",6,"Include","19","Sophomore","Female","White, non-Hispanic or latino","Fail"
"156","43","BradleyUniversity","Light Clipboard",7,"Include","19","First-year","Female","White, non-Hispanic or latino","Pass"
"157","44","BradleyUniversity","Heavy Clipboard",7,"Include","18","First-year","Female","White, non-Hispanic or latino","Pass"
"158","45","BradleyUniversity","Light Clipboard",5,"Include","18","First-year","Female","White, non-Hispanic or latino","Fail"
"159","46","BradleyUniversity","Heavy Clipboard",4,"Include","18","First-year","Female","White, non-Hispanic or latino","Pass"
"160","47","BradleyUniversity","Light Clipboard",7,"Include","19","Sophomore","Male","Asian-American","Pass"
"161","48","BradleyUniversity","Heavy Clipboard",7,"Include","21","Senior","Female","White, non-Hispanic or latino","Pass"
"162","49","BradleyUniversity","Light Clipboard",7,"Include","18","First-year","Female","White, non-Hispanic or latino","Pass"
"163","5","BradleyUniversity","Light Clipboard",7,"Include","18","First-year","Female","White, non-Hispanic or latino","Pass"
"164","50","BradleyUniversity","Heavy Clipboard",3,"Include","19","Sophomore","Female","Multiracial","Fail"
"165","51","BradleyUniversity","Light Clipboard",3,"Include","18","First-year","Female","White, non-Hispanic or latino","Fail"
