"","Participant_ID","referrer","ClipboardWeight","IIResponse","CBReject","age","year","Genderfactor","ethnicity","AttentionCheck"
"625","190","MichiganStateUniversity","Heavy Clipboard",7,"Include","18","First-year","Female","White, non-Hispanic or latino","Pass"
"626","191","MichiganStateUniversity","Light Clipboard",7,"Include","18","First-year","Female","White, non-Hispanic or latino","Pass"
"627","192","MichiganStateUniversity","Heavy Clipboard",7,"Include","18","First-year","Female","White, non-Hispanic or latino","Pass"
"629","194","MichiganStateUniversity","Heavy Clipboard",6,"Include","18","First-year","Female","White, non-Hispanic or latino","Pass"
"630","195","MichiganStateUniversity","Light Clipboard",5,"Include","18","First-year","Female","White, non-Hispanic or latino","Fail"
"631","196","MichiganStateUniversity","Heavy Clipboard",6,"Include","19","Sophomore","Male","White, non-Hispanic or latino","Fail"
"632","197","MichiganStateUniversity","Light Clipboard",6,"Include","18","First-year","Female","White, non-Hispanic or latino","Fail"
"633","198","MichiganStateUniversity","Heavy Clipboard",5,"Include",NA,NA,NA,NA,NA
"634","199","MichiganStateUniversity","Light Clipboard",6,"Include",NA,NA,NA,NA,NA
"635","2","MichiganStateUniversity","Heavy Clipboard",5,"Include","19","Sophomore","Female","White, non-Hispanic or latino","Pass"
"636","20","MichiganStateUniversity","Heavy Clipboard",6,"Include","18","First-year","Male","White, non-Hispanic or latino","Pass"
"637","200","MichiganStateUniversity","Light Clipboard",7,"Include",NA,NA,NA,NA,NA
"638","201","MichiganStateUniversity","Light Clipboard",6,"Include",NA,NA,NA,NA,NA
"639","202","MichiganStateUniversity","Light Clipboard",7,"Include",NA,NA,NA,NA,NA
"640","203","MichiganStateUniversity","Light Clipboard",7,"Include","21","Senior","Female","White, non-Hispanic or latino","Pass"
"641","204","MichiganStateUniversity","Heavy Clipboard",7,"Include","19","First-year","Female","White, non-Hispanic or latino","Pass"
"642","205","MichiganStateUniversity","Light Clipboard",6,"Include","18","First-year","Female","White, non-Hispanic or latino","Pass"
"643","206","MichiganStateUniversity","Heavy Clipboard",7,"Include","18","First-year","Female","White, non-Hispanic or latino","Pass"
"644","207","MichiganStateUniversity","Light Clipboard",6,"Include",NA,NA,NA,NA,NA
"645","208","MichiganStateUniversity","Heavy Clipboard",7,"Include","22","Other","Female","White, non-Hispanic or latino","Fail"
"646","209","MichiganStateUniversity","Light Clipboard",7,"Include","20","Junior","Female","White, non-Hispanic or latino","Fail"
"647","21","MichiganStateUniversity","Light Clipboard",7,"Include","20","Junior","Female","White, non-Hispanic or latino","Pass"
"648","210","MichiganStateUniversity","Heavy Clipboard",5,"Include","20","Junior","Female","White, non-Hispanic or latino","Pass"
"649","211","MichiganStateUniversity","Light Clipboard",6,"Include","18","First-year","Female","White, non-Hispanic or latino","Pass"
"650","212","MichiganStateUniversity","Heavy Clipboard",6,"Include","18","First-year","Female","White, non-Hispanic or latino","Pass"
"652","214","MichiganStateUniversity","Heavy Clipboard",7,"Include","18","First-year","Female","White, non-Hispanic or latino","Pass"
"653","215","MichiganStateUniversity","Light Clipboard",7,"Include","20","Sophomore","Female","White, non-Hispanic or latino","Pass"
"654","216","MichiganStateUniversity","Heavy Clipboard",7,"Include","19","First-year","Female","White, non-Hispanic or latino","Fail"
"655","217","MichiganStateUniversity","Light Clipboard",6,"Include",NA,NA,NA,NA,NA
"656","218","MichiganStateUniversity","Heavy Clipboard",7,"Include",NA,NA,NA,NA,NA
"657","219","MichiganStateUniversity","Light Clipboard",5,"Include","21","Sophomore","Female","Other","Fail"
"658","22","MichiganStateUniversity","Heavy Clipboard",7,"Include","20","Junior","Male","White, non-Hispanic or latino","Pass"
"659","220","MichiganStateUniversity","Heavy Clipboard",6,"Include","20","Junior","Female","Latino or Hispanic","Pass"
"660","221","MichiganStateUniversity","Light Clipboard",7,"Include","20","Junior","Female","White, non-Hispanic or latino","Pass"
"661","222","MichiganStateUniversity","Heavy Clipboard",6,"Include","22","Senior","Female","Other","Fail"
"662","223","MichiganStateUniversity","Light Clipboard",6,"Include","21","Senior","Female","Asian-American","Pass"
"663","224","MichiganStateUniversity","Heavy Clipboard",7,"Include","18","First-year","Female","White, non-Hispanic or latino","Pass"
"664","225","MichiganStateUniversity","Light Clipboard",5,"Include","21","Senior","Female","African-American","Pass"
"665","226","MichiganStateUniversity","Heavy Clipboard",6,"Include","21","Senior","Male","Asian-American","Pass"
"666","227","MichiganStateUniversity","Light Clipboard",7,"Include",NA,NA,NA,NA,NA
"667","228","MichiganStateUniversity","Heavy Clipboard",7,"Include","18","First-year","Female","White, non-Hispanic or latino","Fail"
"668","229","MichiganStateUniversity","Light Clipboard",7,"Include","20","Sophomore","Female","White, non-Hispanic or latino","Pass"
"669","23","MichiganStateUniversity","Light Clipboard",5,"Include","20","First-year","Female","Other","Pass"
"670","230","MichiganStateUniversity","Heavy Clipboard",5,"Include","21","Junior","Female","Other","Fail"
"671","231","MichiganStateUniversity","Light Clipboard",6,"Include","18","First-year","Female","White, non-Hispanic or latino","Pass"
"673","233","MichiganStateUniversity","Light Clipboard",7,"Include","23","Other","Female","White, non-Hispanic or latino","Pass"
"675","235","MichiganStateUniversity","Light Clipboard",5,"Include","21","First-year","Female","African-American","Fail"
"676","236","MichiganStateUniversity","Heavy Clipboard",5,"Include","18","First-year","Female","White, non-Hispanic or latino","Fail"
"677","237","MichiganStateUniversity","Light Clipboard",7,"Include",NA,"First-year","Female","White, non-Hispanic or latino","Fail"
"678","238","MichiganStateUniversity","Heavy Clipboard",6,"Include","20","Junior","Male","White, non-Hispanic or latino","Pass"
"679","239","MichiganStateUniversity","Light Clipboard",7,"Include","19","Sophomore","Female","White, non-Hispanic or latino","Pass"
"680","24","MichiganStateUniversity","Heavy Clipboard",6,"Include","20","Junior","Female","White, non-Hispanic or latino","Pass"
"681","240","MichiganStateUniversity","Heavy Clipboard",5,"Include","19","Sophomore","Female","Multiracial","Pass"
"682","241","MichiganStateUniversity","Light Clipboard",6,"Include","22","Senior","Female","White, non-Hispanic or latino","Pass"
"683","242","MichiganStateUniversity","Heavy Clipboard",6,"Include","21","Senior","Female","White, non-Hispanic or latino","Pass"
"684","243","MichiganStateUniversity","Light Clipboard",7,"Include","19","Sophomore","Female","White, non-Hispanic or latino","Pass"
"685","244","MichiganStateUniversity","Heavy Clipboard",6,"Include","18","First-year","Female","White, non-Hispanic or latino","Pass"
"686","245","MichiganStateUniversity","Light Clipboard",7,"Include",NA,NA,NA,NA,NA
"687","246","MichiganStateUniversity","Heavy Clipboard",6,"Include",NA,NA,NA,NA,NA
"688","247","MichiganStateUniversity","Light Clipboard",5,"Include",NA,NA,NA,NA,NA
"689","248","MichiganStateUniversity","Heavy Clipboard",6,"Include","20","Junior","Female","White, non-Hispanic or latino","Pass"
"690","249","MichiganStateUniversity","Light Clipboard",6,"Include","20","Junior","Male","White, non-Hispanic or latino","Fail"
"691","25","MichiganStateUniversity","Light Clipboard",5,"Include",NA,NA,NA,NA,NA
"692","250","MichiganStateUniversity","Heavy Clipboard",6,"Include","20","Junior","Female","Other","Fail"
"693","251","MichiganStateUniversity","Light Clipboard",5,"Include","21","Junior","Female","Asian-American","Fail"
"694","252","MichiganStateUniversity","Heavy Clipboard",6,"Include","21","Senior","Female","White, non-Hispanic or latino","Pass"
"695","253","MichiganStateUniversity","Light Clipboard",7,"Include","19","Sophomore","Female","White, non-Hispanic or latino","Pass"
"696","254","MichiganStateUniversity","Heavy Clipboard",7,"Include","21","Senior","Female","White, non-Hispanic or latino","Fail"
"698","256","MichiganStateUniversity","Heavy Clipboard",7,"Include","18","First-year","Female","African-American","Fail"
"699","257","MichiganStateUniversity","Light Clipboard",7,"Include","19",NA,"Female","White, non-Hispanic or latino","Pass"
"700","258","MichiganStateUniversity","Heavy Clipboard",6,"Include",NA,NA,NA,NA,NA
"701","259","MichiganStateUniversity","Light Clipboard",4,"Include","18","First-year",NA,"White, non-Hispanic or latino","Fail"
"704","261","MichiganStateUniversity","Light Clipboard",6,"Include","20","Junior","Male","Asian-American","Pass"
"705","262","MichiganStateUniversity","Heavy Clipboard",6,"Include","18","First-year","Male","Other","Pass"
