"","Participant_ID","referrer","ClipboardWeight","IIResponse","CBReject","age","year","Genderfactor","ethnicity","AttentionCheck"
"903","123","MontanaStateUniversity","Light Clipboard",6,"Include","19","First-year","Male","White, non-Hispanic or latino","Fail"
"906","126","MontanaStateUniversity","Heavy Clipboard",6,"Include","18","First-year","Female","White, non-Hispanic or latino","Pass"
"907","127","MontanaStateUniversity","Light Clipboard",7,"Include","18","First-year","Female","Asian-American","Fail"
"908","128","MontanaStateUniversity","Heavy Clipboard",5,"Include","19","First-year","Female","White, non-Hispanic or latino","Fail"
"909","129","MontanaStateUniversity","Light Clipboard",5,"Include","20","Junior","Male","White, non-Hispanic or latino","Pass"
"910","13","MontanaStateUniversity","Light Clipboard",6,"Include","22","First-year","Male","Other","Fail"
"911","130","MontanaStateUniversity","Heavy Clipboard",6,"Include","22","Junior","Male","White, non-Hispanic or latino","Pass"
"913","132","MontanaStateUniversity","Heavy Clipboard",6,"Include","20","Sophomore","Female","Asian-American","Fail"
"914","133","MontanaStateUniversity","Light Clipboard",6,"Include","18","First-year","Female","Asian-American","Pass"
"915","134","MontanaStateUniversity","Heavy Clipboard",6,"Include",NA,NA,NA,NA,NA
"916","135","MontanaStateUniversity","Light Clipboard",7,"Include",NA,NA,NA,NA,NA
"917","14","MontanaStateUniversity","Heavy Clipboard",7,"Include","19","First-year","Female","Latino or Hispanic","Pass"
"918","15","MontanaStateUniversity","Light Clipboard",6,"Include","17","First-year","Female","White, non-Hispanic or latino","Pass"
"919","16","MontanaStateUniversity","Heavy Clipboard",7,"Include","18","First-year","Female","White, non-Hispanic or latino","Pass"
"920","17","MontanaStateUniversity","Light Clipboard",7,"Include","18","First-year","Male","White, non-Hispanic or latino","Pass"
"922","20","MontanaStateUniversity","Heavy Clipboard",6,"Include","18","First-year","Male","White, non-Hispanic or latino","Pass"
"923","21","MontanaStateUniversity","Light Clipboard",6,"Include","17","First-year","Female","White, non-Hispanic or latino","Pass"
"924","22","MontanaStateUniversity","Heavy Clipboard",5,"Include","18","First-year","Male","White, non-Hispanic or latino","Pass"
"925","23","MontanaStateUniversity","Light Clipboard",6,"Include","19","Sophomore","Male","Other","Pass"
"927","25","MontanaStateUniversity","Light Clipboard",7,"Include","18","First-year","Female","Native American and Alaska Native","Pass"
"930","28","MontanaStateUniversity","Heavy Clipboard",7,"Include","18","First-year","Female","White, non-Hispanic or latino","Pass"
"931","29","MontanaStateUniversity","Light Clipboard",7,"Include","18","First-year","Female","Latino or Hispanic","Fail"
"932","30","MontanaStateUniversity","Heavy Clipboard",6,"Include","18","First-year","Female","White, non-Hispanic or latino","Pass"
