"","session_id","referrer","d_art","IATexp.overall","IATEXPfilter"
"894",2492244,"ku",-0.104393113075028,3.75,"Include"
"895",2493467,"ku",0.365002895917363,3.5,"Include"
"896",2497422,"ku",-0.182694409805391,3.58333333333333,"Include"
"897",2497833,"ku",-0.133524442707587,4.58333333333333,"Include"
"898",2498540,"ku",1.0431915867016,4.33333333333333,"Include"
"899",2500646,"ku",0.159029906912234,4,"Include"
"901",2500657,"ku",0.592505338385201,5.83333333333333,"Include"
"902",2500684,"ku",1.10533521199413,4.16666666666667,"Include"
"903",2500701,"ku",-0.269978547019213,4.5,"Include"
"904",2500731,"ku",-0.0445207213430502,4.16666666666667,"Include"
"906",2500768,"ku",0.34764428877963,3.58333333333333,"Include"
"907",2500814,"ku",1.0559233084761,5.83333333333333,"Include"
"908",2500872,"ku",-0.308282531132846,3.66666666666667,"Include"
"909",2500947,"ku",0.720636301936506,5.41666666666667,"Include"
"910",2500948,"ku",0.206788981949567,4.41666666666667,"Include"
"911",2500958,"ku",1.20189778120047,4.75,"Include"
"912",2500977,"ku",-0.627843959585681,5.41666666666667,"Include"
"913",2501006,"ku",0.502248275200563,3.83333333333333,"Include"
"914",2501189,"ku",1.31387668495714,4.91666666666667,"Include"
"915",2501191,"ku",0.5276502359521,6,"Include"
"917",2501262,"ku",0.687879493952545,5.75,"Include"
"918",2501392,"ku",0.203515392041352,3.66666666666667,"Include"
"919",2501462,"ku",-0.567499696369685,3.5,"Include"
"921",2501765,"ku",0.659903856069236,4,"Include"
"922",2501785,"ku",1.13014569317571,4.16666666666667,"Include"
"923",2501908,"ku",-0.0100852599408255,3.58333333333333,"Include"
"924",2502030,"ku",-0.10218484539328,4.25,"Include"
"925",2502048,"ku",0.327983681868371,3.41666666666667,"Include"
"926",2502097,"ku",0.768888926987257,5.83333333333333,"Include"
"927",2502180,"ku",0.930690736820488,4.58333333333333,"Include"
"928",2503046,"ku",0.204127621555924,3.91666666666667,"Include"
"929",2503127,"ku",0.0777735888717116,4.33333333333333,"Include"
"930",2503177,"ku",0.310351835671178,3.91666666666667,"Include"
"931",2503211,"ku",0.753795979834922,3.5,"Include"
"932",2503400,"ku",-0.498455517688797,3.08333333333333,"Include"
"934",2503649,"ku",-0.0605052221444688,3.08333333333333,"Include"
"935",2503687,"ku",-0.157183601956816,4.66666666666667,"Include"
"936",2503943,"ku",-0.0226209276446436,3.83333333333333,"Include"
"937",2504147,"ku",-0.0263227717654731,3.16666666666667,"Include"
"938",2504151,"ku",-0.349943192875681,5.83333333333333,"Include"
"939",2504793,"ku",0.881703053001289,2.5,"Include"
"940",2504918,"ku",0.0627861909797975,3.5,"Include"
"941",2504958,"ku",1.09272144869272,6.25,"Include"
"942",2505085,"ku",-0.148723202249245,3.33333333333333,"Include"
"943",2505329,"ku",0.309591184846948,4,"Include"
"944",2505448,"ku",-0.0368525909806517,6,"Include"
"945",2505529,"ku",0.213167708787279,6,"Include"
"946",2505548,"ku",0.289132984856797,3.58333333333333,"Include"
"947",2505570,"ku",0.1931725882039,3.66666666666667,"Include"
"948",2506806,"ku",0.85857608558659,5,"Include"
"949",2506845,"ku",0.186627589608277,4.91666666666667,"Include"
"950",2506881,"ku",0.306876718679194,4.5,"Include"
"951",2507070,"ku",1.4562382669396,4.58333333333333,"Include"
"952",2507282,"ku",0.690651322222809,4.66666666666667,"Include"
"953",2509148,"ku",0.95757381722626,4.91666666666667,"Include"
"954",2510451,"ku",-0.0205053402302971,4,"Include"
"955",2510549,"ku",0.844919635260165,4,"Include"
"957",2511223,"ku",-0.806973701167608,3.5,"Include"
"958",2511739,"ku",0.150806075690697,4.66666666666667,"Include"
