"","session_id","referrer","allowedforbiddenGroup","allowedforbidden"
"5327",2482018,"tamuon","forbidden","does not support banning anti-democratic speeches"
"5328",2482061,"tamuon","allowed","support banning anti-democratic speeches"
"5329",2482084,"tamuon","allowed","does not support banning anti-democratic speeches"
"5330",2482088,"tamuon","forbidden","does not support banning anti-democratic speeches"
"5332",2482098,"tamuon","allowed","support banning anti-democratic speeches"
"5333",2482108,"tamuon","forbidden","does not support banning anti-democratic speeches"
"5334",2482114,"tamuon","allowed","does not support banning anti-democratic speeches"
"5335",2482143,"tamuon","allowed","support banning anti-democratic speeches"
"5336",2482158,"tamuon","allowed","support banning anti-democratic speeches"
"5337",2482170,"tamuon","allowed","does not support banning anti-democratic speeches"
"5338",2482186,"tamuon","allowed","support banning anti-democratic speeches"
"5339",2482192,"tamuon","forbidden","does not support banning anti-democratic speeches"
"5340",2482228,"tamuon","allowed","does not support banning anti-democratic speeches"
"5341",2482235,"tamuon","forbidden","does not support banning anti-democratic speeches"
"5342",2482264,"tamuon","allowed","does not support banning anti-democratic speeches"
"5343",2482272,"tamuon","allowed","support banning anti-democratic speeches"
"5344",2482273,"tamuon","allowed","does not support banning anti-democratic speeches"
"5345",2482289,"tamuon","forbidden","does not support banning anti-democratic speeches"
"5346",2482290,"tamuon","forbidden","does not support banning anti-democratic speeches"
"5347",2482291,"tamuon","allowed","does not support banning anti-democratic speeches"
"5348",2482324,"tamuon","allowed","does not support banning anti-democratic speeches"
"5349",2482338,"tamuon","forbidden","does not support banning anti-democratic speeches"
"5350",2482356,"tamuon","allowed","does not support banning anti-democratic speeches"
"5351",2482358,"tamuon","forbidden","does not support banning anti-democratic speeches"
"5352",2482368,"tamuon","allowed","does not support banning anti-democratic speeches"
"5353",2482387,"tamuon","allowed","does not support banning anti-democratic speeches"
"5354",2482388,"tamuon","forbidden","support banning anti-democratic speeches"
"5356",2482421,"tamuon","allowed","does not support banning anti-democratic speeches"
"5357",2482471,"tamuon","allowed","does not support banning anti-democratic speeches"
"5358",2482482,"tamuon","allowed","support banning anti-democratic speeches"
"5359",2482508,"tamuon","allowed","does not support banning anti-democratic speeches"
"5360",2482555,"tamuon","forbidden","does not support banning anti-democratic speeches"
"5361",2482563,"tamuon","allowed","does not support banning anti-democratic speeches"
"5362",2482564,"tamuon","allowed","does not support banning anti-democratic speeches"
"5363",2482587,"tamuon","allowed","does not support banning anti-democratic speeches"
"5364",2482588,"tamuon","allowed","does not support banning anti-democratic speeches"
"5365",2482605,"tamuon","allowed","does not support banning anti-democratic speeches"
"5366",2482611,"tamuon","allowed","support banning anti-democratic speeches"
"5367",2482621,"tamuon","allowed","support banning anti-democratic speeches"
"5368",2482623,"tamuon","forbidden","does not support banning anti-democratic speeches"
"5369",2482632,"tamuon","allowed","does not support banning anti-democratic speeches"
"5370",2482634,"tamuon","forbidden","does not support banning anti-democratic speeches"
"5371",2482654,"tamuon","allowed","does not support banning anti-democratic speeches"
"5372",2482707,"tamuon","forbidden","support banning anti-democratic speeches"
"5373",2482727,"tamuon","allowed","does not support banning anti-democratic speeches"
"5374",2482751,"tamuon","forbidden","does not support banning anti-democratic speeches"
"5375",2482753,"tamuon","forbidden","does not support banning anti-democratic speeches"
"5376",2482758,"tamuon","allowed","support banning anti-democratic speeches"
"5377",2482762,"tamuon","allowed","does not support banning anti-democratic speeches"
"5378",2482783,"tamuon","forbidden","does not support banning anti-democratic speeches"
"5379",2482784,"tamuon","allowed","does not support banning anti-democratic speeches"
"5380",2482866,"tamuon","allowed","does not support banning anti-democratic speeches"
"5381",2482868,"tamuon","allowed","support banning anti-democratic speeches"
