"","session_id","referrer","ContactGroup","Imagineddv"
"2058",2409165,"mturk","Contact group",7.75
"2059",2409171,"mturk","Control group",2.25
"2060",2409176,"mturk","Contact group",2
"2061",2409182,"mturk","Control group",3
"2062",2409185,"mturk","Contact group",3.5
"2063",2409198,"mturk","Contact group",5
"2064",2409206,"mturk","Contact group",1.75
"2065",2409210,"mturk","Contact group",2
"2066",2409218,"mturk","Control group",2
"2067",2409219,"mturk","Control group",4.75
"2068",2409220,"mturk","Control group",2.5
"2069",2409225,"mturk","Control group",3.75
"2070",2409231,"mturk","Control group",5.25
"2071",2409232,"mturk","Control group",3.75
"2072",2409250,"mturk","Contact group",5.5
"2073",2409258,"mturk","Contact group",1
"2074",2409269,"mturk","Contact group",1.5
"2075",2409415,"mturk","Contact group",2.25
"2076",2409416,"mturk","Contact group",3.25
"2077",2409417,"mturk","Contact group",3.75
"2078",2409425,"mturk","Contact group",6.25
"2079",2409429,"mturk","Control group",4.5
"2080",2409433,"mturk","Control group",3.5
"2081",2409447,"mturk","Control group",1
"2082",2409449,"mturk","Contact group",3.75
"2083",2409452,"mturk","Contact group",5.75
"2084",2409455,"mturk","Contact group",5.5
"2085",2409460,"mturk","Contact group",3.5
"2086",2409461,"mturk","Contact group",3.25
"2087",2409464,"mturk","Control group",1
"2088",2409466,"mturk","Contact group",4.5
"2089",2409467,"mturk","Control group",6
"2090",2409469,"mturk","Control group",4.75
"2091",2409474,"mturk","Contact group",3.25
"2092",2409483,"mturk","Control group",4
"2093",2409484,"mturk","Contact group",4.5
"2094",2409485,"mturk","Contact group",6.25
"2095",2409488,"mturk","Contact group",5.5
"2096",2409489,"mturk","Contact group",6.75
"2097",2409492,"mturk","Contact group",9
"2098",2409493,"mturk","Contact group",3.5
"2099",2409494,"mturk","Contact group",4.25
"2100",2409496,"mturk","Contact group",5.5
"2101",2409497,"mturk","Contact group",4.25
"2102",2409498,"mturk","Control group",5
"2103",2409501,"mturk","Contact group",5
"2104",2409502,"mturk","Control group",2.75
"2105",2409506,"mturk","Control group",4.75
"2106",2409507,"mturk","Control group",4
"2107",2409508,"mturk","Control group",2
"2108",2409510,"mturk","Contact group",6
"2109",2409511,"mturk","Control group",1.5
"2110",2409512,"mturk","Contact group",4.5
"2111",2409515,"mturk","Contact group",4.5
"2112",2409517,"mturk","Control group",3.5
"2113",2409518,"mturk","Contact group",4.5
"2114",2409520,"mturk","Control group",3.25
"2115",2409521,"mturk","Control group",1.75
"2116",2409523,"mturk","Control group",5.5
"2117",2409524,"mturk","Control group",5.75
"2118",2409525,"mturk","Control group",7.5
"2119",2409527,"mturk","Contact group",3
"2120",2409529,"mturk","Contact group",5
"2121",2409530,"mturk","Control group",3.75
"2122",2409533,"mturk","Control group",3.75
"2123",2409540,"mturk","Control group",5.25
"2124",2409550,"mturk","Control group",4.25
"2125",2409573,"mturk","Contact group",2
"2126",2411006,"mturk","Control group",1.75
"2127",2411010,"mturk","Contact group",3.25
"2128",2411012,"mturk","Contact group",5.75
"2129",2411013,"mturk","Contact group",3.5
"2130",2411014,"mturk","Control group",5.25
"2131",2411015,"mturk","Contact group",4.75
"2132",2411016,"mturk","Control group",1
"2133",2411017,"mturk","Control group",4.5
"2134",2411018,"mturk","Control group",1
"2135",2411021,"mturk","Control group",5.5
"2136",2411025,"mturk","Contact group",4
"2137",2411026,"mturk","Contact group",2.25
"2138",2411027,"mturk","Control group",6.5
"2139",2411028,"mturk","Control group",7
"2140",2411030,"mturk","Control group",5.25
"2141",2411032,"mturk","Control group",1.75
"2142",2411034,"mturk","Contact group",4.25
"2143",2411036,"mturk","Contact group",5.75
"2144",2411037,"mturk","Contact group",5.75
"2145",2411040,"mturk","Control group",5.25
"2146",2411041,"mturk","Control group",2.75
"2147",2411044,"mturk","Contact group",3.25
"2148",2411046,"mturk","Control group",5.75
"2149",2411047,"mturk","Control group",4.25
"2150",2411048,"mturk","Contact group",5.25
"2151",2411052,"mturk","Contact group",1
"2152",2411061,"mturk","Control group",2
"2153",2411062,"mturk","Control group",1
"2154",2411065,"mturk","Contact group",5
"2155",2411067,"mturk","Control group",3.5
"2156",2411070,"mturk","Control group",9
"2157",2411073,"mturk","Contact group",4
"2158",2411074,"mturk","Control group",2
"2159",2411077,"mturk","Control group",3.25
"2160",2411080,"mturk","Contact group",5.5
"2161",2411081,"mturk","Contact group",4
"2162",2411082,"mturk","Contact group",4
"2163",2411083,"mturk","Contact group",3.75
"2164",2411086,"mturk","Contact group",6.25
"2165",2411089,"mturk","Control group",3.75
"2166",2411091,"mturk","Contact group",2
"2167",2411092,"mturk","Control group",4.25
"2168",2411095,"mturk","Contact group",7
"2169",2411097,"mturk","Contact group",2.25
"2170",2411100,"mturk","Contact group",4
"2171",2411102,"mturk","Contact group",4
"2172",2411122,"mturk","Control group",5.75
"2173",2411125,"mturk","Control group",2.75
"2174",2411129,"mturk","Control group",6.5
"2175",2411130,"mturk","Contact group",4
"2176",2411132,"mturk","Control group",1.75
"2177",2411133,"mturk","Contact group",3
"2178",2411134,"mturk","Contact group",1
"2179",2411138,"mturk","Control group",3.75
"2180",2411139,"mturk","Contact group",2.5
"2181",2411141,"mturk","Contact group",4.25
"2182",2411142,"mturk","Control group",2.5
"2183",2411144,"mturk","Contact group",7.5
"2184",2411145,"mturk","Control group",4.75
"2185",2411146,"mturk","Contact group",1.5
"2186",2411149,"mturk","Contact group",6.75
"2187",2411151,"mturk","Control group",1.5
"2188",2411152,"mturk","Control group",4.75
"2189",2411160,"mturk","Contact group",8
"2190",2411161,"mturk","Control group",1
"2191",2411171,"mturk","Contact group",1
"2192",2411177,"mturk","Control group",1
"2193",2411200,"mturk","Control group",7
"2194",2411211,"mturk","Contact group",7
"2195",2411214,"mturk","Control group",6.5
"2196",2411215,"mturk","Control group",1.5
"2197",2411221,"mturk","Contact group",5.5
"2198",2411223,"mturk","Control group",8
"2199",2411224,"mturk","Control group",1
"2200",2411228,"mturk","Contact group",6.5
"2201",2411234,"mturk","Contact group",5
"2202",2411235,"mturk","Contact group",3.75
"2203",2411237,"mturk","Control group",3
"2204",2411238,"mturk","Contact group",5.75
"2205",2411240,"mturk","Contact group",2.75
"2206",2411242,"mturk","Contact group",1.25
"2207",2411245,"mturk","Contact group",8.25
"2208",2411246,"mturk","Control group",3.25
"2209",2411249,"mturk","Control group",6.25
"2210",2411250,"mturk","Control group",5
"2211",2411251,"mturk","Contact group",4
"2212",2411254,"mturk","Control group",2
"2213",2411256,"mturk","Control group",2
"2214",2411257,"mturk","Control group",1.25
"2215",2411260,"mturk","Contact group",3
"2216",2411262,"mturk","Contact group",1.75
"2217",2411264,"mturk","Control group",5.25
"2218",2411274,"mturk","Contact group",5
"2219",2411298,"mturk","Control group",3
"2220",2411326,"mturk","Control group",1
"2221",2411328,"mturk","Contact group",2.75
"2222",2411329,"mturk","Control group",4.5
"2223",2411331,"mturk","Control group",4.5
"2224",2411358,"mturk","Control group",1.25
"2225",2411388,"mturk","Contact group",2.75
"2226",2411418,"mturk","Control group",4
"2227",2411436,"mturk","Control group",3.5
"2228",2411447,"mturk","Contact group",5
"2229",2411570,"mturk","Control group",1
"2230",2411582,"mturk","Contact group",1.75
"2231",2411585,"mturk","Contact group",4
"2232",2411587,"mturk","Contact group",4.5
"2233",2411588,"mturk","Control group",1.75
"2234",2411590,"mturk","Control group",5.75
"2235",2411593,"mturk","Control group",3
"2236",2411594,"mturk","Contact group",1
"2237",2411609,"mturk","Contact group",4.5
"2238",2411665,"mturk","Contact group",5
"2239",2411667,"mturk","Control group",2.25
"2240",2411673,"mturk","Contact group",6.25
"2241",2411677,"mturk","Contact group",2.75
"2242",2411701,"mturk","Contact group",4.5
"2243",2411711,"mturk","Control group",3.25
"2244",2411713,"mturk","Contact group",4.25
