"","Participant_ID","referrer","PowerCond","Sincerity","age","year","Genderfactor","ethnicity","AttentionCheck"
"979","78","MontanaStateUniversity","HighPower",5,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"980","79","MontanaStateUniversity","LowPower",1,"22","Senior","Male","White, non-Hispanic or latino","Pass"
"981","8","MontanaStateUniversity","LowPower",4,"19","Sophomore","Male","White, non-Hispanic or latino","Fail"
"982","80","MontanaStateUniversity","HighPower",4,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"983","81","MontanaStateUniversity","LowPower",1,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"984","82","MontanaStateUniversity","HighPower",3,"23","Senior","Female","Asian-American","Fail"
"985","83","MontanaStateUniversity","LowPower",5,"23","Junior","Female","White, non-Hispanic or latino","Pass"
"986","84","MontanaStateUniversity","LowPower",2,"20","Junior","Female","White, non-Hispanic or latino","Fail"
"987","85","MontanaStateUniversity","LowPower",4,"18","First-year","Male","White, non-Hispanic or latino","Pass"
"988","86","MontanaStateUniversity","LowPower",5,"19","Sophomore","Female","White, non-Hispanic or latino","Pass"
"989","87","MontanaStateUniversity","LowPower",5,"19","Sophomore","Female","White, non-Hispanic or latino","Pass"
"990","88","MontanaStateUniversity","HighPower",3,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"991","89","MontanaStateUniversity","HighPower",1,"18","First-year","Male","White, non-Hispanic or latino","Fail"
"993","90","MontanaStateUniversity","LowPower",5,"19","Sophomore","Female","White, non-Hispanic or latino","Pass"
"994","91","MontanaStateUniversity","HighPower",4,"18","First-year","Female","White, non-Hispanic or latino","Fail"
"995","92","MontanaStateUniversity","LowPower",1,"19","First-year","Male","White, non-Hispanic or latino","Fail"
"996","93","MontanaStateUniversity","LowPower",3,"18","First-year","Male","White, non-Hispanic or latino","Pass"
"997","94","MontanaStateUniversity","HighPower",5,"20","Sophomore","Male","White, non-Hispanic or latino","Fail"
"998","95","MontanaStateUniversity","LowPower",4,"19","Sophomore","Female","White, non-Hispanic or latino","Fail"
"1000","97","MontanaStateUniversity","LowPower",6,"18","First-year","Female","White, non-Hispanic or latino","Fail"
"1001","98","MontanaStateUniversity","LowPower",5,"24","First-year","Female","White, non-Hispanic or latino","Pass"
"1002","99","MontanaStateUniversity","HighPower",3,"18","Sophomore","Female","White, non-Hispanic or latino","Pass"
"1003",NA,"MontanaStateUniversity","LowPower",4,"20","Sophomore","Male","White, non-Hispanic or latino","Pass"
"1004",NA,"MontanaStateUniversity","LowPower",3,"20","Sophomore","Male","White, non-Hispanic or latino","Fail"
"1005",NA,"MontanaStateUniversity","HighPower",5,"28","Other","Male","White, non-Hispanic or latino","Pass"
"1007",NA,"MontanaStateUniversity","HighPower",4,"18","Junior","Female","White, non-Hispanic or latino","Pass"
"1009",NA,"MontanaStateUniversity","LowPower",2,"19","First-year","Female","White, non-Hispanic or latino","Fail"
"1010",NA,"MontanaStateUniversity","LowPower",1,NA,NA,NA,NA,NA
"1011",NA,"MontanaStateUniversity","LowPower",2,"28","First-year","Male","White, non-Hispanic or latino",NA
"1012",NA,"MontanaStateUniversity","HighPower",2,"19","Sophomore","Female","White, non-Hispanic or latino","Fail"
"1013",NA,"MontanaStateUniversity","LowPower",4,"20","Sophomore","Male","White, non-Hispanic or latino","Fail"
"1014",NA,"MontanaStateUniversity","HighPower",4,"23","Senior","Female","White, non-Hispanic or latino","Pass"
"1015",NA,"MontanaStateUniversity","LowPower",5,"21","Junior","Male","White, non-Hispanic or latino","Pass"
"1016",NA,"MontanaStateUniversity","LowPower",2,"17","First-year","Female","White, non-Hispanic or latino","Fail"
"1017",NA,"MontanaStateUniversity","HighPower",5,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"1018",NA,"MontanaStateUniversity","LowPower",5,"20","Sophomore","Female","White, non-Hispanic or latino","Pass"
