uID,variable1,variable2,factor
2971,0.2,1,SameKiss
2972,0.4,2,SameKiss
2977,0.3,1,SameKiss
2979,0.6,1,SameKiss
2982,0,2,SameKiss
2983,0.4,1,SameKiss
2984,0.3,1,SameKiss
2987,0.4,2,SameKiss
2992,0.1,2,SameKiss
2993,0.5,2,SameKiss
2994,0.4,2,SameKiss
2995,0.4,2,SameKiss
2996,0.5,2,SameKiss
2997,0.6,2,SameKiss
2998,0.5,2,SameKiss
2999,0.7,1,SameKiss
3001,0.3,1,SameKiss
3005,0.4,1,SameKiss
3012,0.1,2,SameKiss
3013,0.8,2,SameKiss
3016,0.4,1,SameKiss
3017,0.2,2,SameKiss
3018,0.7,1,SameKiss
3021,0.4,2,SameKiss
3022,0.4,2,SameKiss
3023,1,2,SameKiss
3024,0.5,2,SameKiss
3025,0.6,1,SameKiss
3027,0.4,2,SameKiss
3028,0.4,2,SameKiss
3030,0.6,1,SameKiss
3031,0.6,2,SameKiss
3033,0.3,2,SameKiss
3034,0.6,2,SameKiss
2923,0.4,2,DiffKiss
2924,0.4,1,DiffKiss
2928,0.6,2,DiffKiss
2929,0.6,1,DiffKiss
2930,0,2,DiffKiss
2931,0.6,1,DiffKiss
2932,0.7,2,DiffKiss
2936,1,1,DiffKiss
2937,0.2,2,DiffKiss
2942,0.7,1,DiffKiss
2943,0.4,2,DiffKiss
2944,0.2,1,DiffKiss
2945,0.3,1,DiffKiss
2947,0.3,1,DiffKiss
2948,0.4,2,DiffKiss
2949,0.7,1,DiffKiss
2950,0.5,2,DiffKiss
2953,0,2,DiffKiss
2954,0.3,2,DiffKiss
2956,0.5,2,DiffKiss
2957,0.5,2,DiffKiss
2958,1,2,DiffKiss
2959,0.4,1,DiffKiss
2962,0.5,2,DiffKiss
2963,0.5,2,DiffKiss
2968,0.6,2,DiffKiss
2970,0.6,2,DiffKiss
2973,0.8,1,DiffKiss
2974,0.3,2,DiffKiss
2976,0.6,2,DiffKiss
2978,0.5,1,DiffKiss
2980,0.3,2,DiffKiss
2981,0.9,2,DiffKiss
2985,0.8,1,DiffKiss
2986,0.6,2,DiffKiss
2988,0.5,2,DiffKiss
2989,0.3,2,DiffKiss
2990,0.1,2,DiffKiss
2991,0.4,2,DiffKiss
3000,0.4,2,DiffKiss
3002,0.7,2,DiffKiss
3003,0.3,1,DiffKiss
3004,0.2,2,DiffKiss
3006,0.4,1,DiffKiss
3007,0.3,2,DiffKiss
3008,0.5,1,DiffKiss
3009,0.5,2,DiffKiss
3010,0.3,1,DiffKiss
3011,0.3,2,DiffKiss
3014,0.4,2,DiffKiss
3015,0.7,1,DiffKiss
3019,0.3,1,DiffKiss
3020,0.5,2,DiffKiss
3026,0.2,2,DiffKiss
3029,0.7,2,DiffKiss
3032,1,1,DiffKiss
1623,0.3,2,SameKiss
1627,0.3,2,SameKiss
1630,0.7,2,SameKiss
1631,0.1,2,SameKiss
1632,0.3,2,SameKiss
1633,0.4,2,SameKiss
1639,0.1,2,SameKiss
1640,0.8,2,SameKiss
1677,0.2,2,SameKiss
1682,0.5,1,SameKiss
1700,0.1,2,SameKiss
1712,0.4,2,SameKiss
1713,0.6,2,SameKiss
1715,0.2,2,SameKiss
1758,0.2,2,SameKiss
1766,0.5,2,SameKiss
1771,0.4,1,SameKiss
1772,0.2,2,SameKiss
1776,0.5,2,SameKiss
1779,0.2,1,SameKiss
1798,0.4,2,SameKiss
1801,0.5,1,SameKiss
1804,0.1,2,SameKiss
1817,0.3,1,SameKiss
1818,0.1,2,SameKiss
1820,0.2,2,SameKiss
1823,0.6,2,SameKiss
1826,0.8,2,SameKiss
