"participantnum","date","ms_condition","dv_order","prous1","prous2","prous3","prous4","prous5","antius1","antius2","antius3","antius4","antius5","cheerful","sad","active","angryatself","disgusted","calm","guilty","enthusiastic","attentive","afraid","joyful","downhearted","bashful","tired","nervous","sheepish","sluggish","amazed","lonely","distressed","daring","shaky","sleepy","blameworthy","surprised","happy","excited","determined","strong","timid","hostile","frightened","scornful","alone","proud","astonished","relaxed","alert","jittery","interested","irritable","upset","lively","loathing","delighted","angry","ashamed","confident","inspired","bold","atease","energetic","fearless","blue","scared","concentrating","disgustedwithself","shy","drowsy","dissatisfiedwithself","countryofbirth","race","americanid","msincomplete","expert","source","location","proauth_avg","antiauth_avg","pro_minus_anti" 
"24","2017-03-20","tv","pro-first",8,8,7,6,7,6,6,7,6,8,"4","3","3","1","2","3","1","1","3","2","2","1","1","4","1","1","3","2","2","2","5","4","4","1","2","2","5","3","3","1","3","1","1","2","4","2","2","4","3","4","1","1","2","1","3","1","1","5","1","5","2","3","5","1","2","2","2","1","3","2",1,2,2,0,1,"cnj","cnj",6.66666666666667,7,-0.333333333333333
"25","2017-03-20","ms","pro-first",8,8,7,8,7,4,4,4,4,6,"3","1","2","1","1","3","1","2","2","2","3","1","1","4","1","1","1","1","1","2","3","1","4","1","1","3","3","3","4","1","1","1","1","1","3","1","3","2","1","2","2","1","3","1","3","1","1","3","3","1","2","2","2","1","2","2","1","1","3","1",1,1,7,0,1,"cnj","cnj",7.33333333333333,4.66666666666667,2.66666666666667
"26","2017-03-20","ms","pro-first",7,6,7,6,7,5,5,6,4,6,"1","2","2","1","1","4","1","1","2","2","1","1","1","4","2","1","4","1","2","2","1","1","4","1","2","2","1","1","2","1","1","1","2","1","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1","1","2","1","1","2","1","2","2","1","3","1",1,1,6,0,1,"cnj","cnj",6.66666666666667,5.33333333333333,1.33333333333333
"27","2017-03-20","ms","anti-first",8,7,7,7,7,2,2,2,1,3,"2","3","4","1","1","5","1","3","5","3","3","2","3","4","2","2","2","2","1","3","4","2","4","1","2","2","2","3","5","1","1","1","2","1","2","2","5","4","2","3","1","2","2","1","1","1","1","2","1","2","4","2","2","2","1","5","1","1","2","1",1,1,8,0,1,"cnj","cnj",7,2,5
"28","2017-03-20","tv","anti-first",9,9,8,8,8,3,4,3,2,2,"2","1","2","1","1","4","1","2","4","1","3","1","1","4","1","2","4","1","2","2","1","1","4","1","2","3","1","3","3","2","1","1","1","3","3","1","5","2","2","4","2","1","2","1","1","1","1","4","3","1","4","2","3","1","1","4","1","2","4","1",1,1,9,0,1,"cnj","cnj",8,2.33333333333333,5.66666666666667
"29","2017-03-20","ms","pro-first",7,6,8,7,7,4,4,5,4,4,"1","4","2","3","3","2","1","2","3","5","1","3","1","4","4","3","4","1","4","4","1","1","5","2","3","2","1","2","2","3","1","3","2","4","1","2","3","3","2","2","3","4","2","2","1","3","1","2","2","2","3","2","1","5","4","4","1","3","4","3",1,1,5,0,1,"cnj","cnj",7.33333333333333,4.33333333333333,3
"30","2017-03-20","ms","pro-first",5,5,5,5,4,5,5,4,4,4,"3","1","3","1","1","4","1","2","3","1","3","1","2","2","1","1","2","1","1","1","4","2","2","1","1","3","3","4","3","1","1","1","1","1","3","2","3","2","1","2","3","1","2","1","3","1","1","3","2","3","2","2","3","1","1","2","1","1","1","1",1,2,9,0,1,"cnj","cnj",4.66666666666667,4,0.666666666666667
"31","2017-03-20","tv","pro-first",7,8,5,6,5,5,5,8,3,8,"4","1","2","1","1","5","2","2","4","1","4","1","1","4","1","1","4","3","1","1","1","1","5","1","1","4","2","4","3","1","1","1","1","1","4","1","4","1","1","4","2","1","3","1","4","1","1","4","2","1","4","3","2","1","1","4","1","3","3","1",1,1,8,0,1,"cnj","cnj",5.33333333333333,6.33333333333333,-1
"32","2017-03-20","tv","anti-first",5,4,7,5,4,6,6,6,6,5,"3","2","3","1","1","3","1","1","4","1","1","1","3","5","2","1","2","1","1","2","1","3","4","1","1","4","1","4","4","1","1","1","1","2","2","1","2","4","2","3","2","1","2","1","1","1","1","4","1","1","3","3","1","1","1","5","2","1","3","1",1,1,4,0,1,"cnj","cnj",5.33333333333333,5.66666666666667,-0.333333333333334
"33","2017-03-20","tv","pro-first",7,5,5,7,5,6,6,6,7,6,"2","1","2","1","1","4","3","1","3","1","1","1","1","3","2","1","2","1","1","1","2","1","4","1","1","3","1","3","3","2","1","1","1","2","1","1","3","1","1","2","2","1","1","1","1","1","1","2","1","1","3","1","2","2","1","3","1","1","4","1",1,1,7,0,1,"cnj","cnj",5.66666666666667,6.33333333333333,-0.666666666666666
"34","2017-03-20","tv","anti-first",7,7,5,7,5,4,4,3,4,3,"3","1","1","1","1","4","1","2","3","1","3","1","1","2","1","1","2","1","1","1","1","1","2","1","1","3","3","4","1","2","1","1","1","1","1","1","3","3","1","2","1","1","2","1","1","1","1","2","2","1","4","2","1","1","1","5","1","1","2","1",1,4,6,0,1,"cnj","cnj",5.66666666666667,3.33333333333333,2.33333333333333
"35","2017-03-20","ms","pro-first",7,6,5,5,5,7,7,6,5,4,"2","2","3","1","1","3","2","1","3","2","3","1","4","2","3","2","1","1","3","1","2","1","2","1","1","2","2","2","3","2","1","1","1","2","1","1","5","2","1","1","1","1","1","1","2","1","1","1","2","1","3","1","2","1","1","3","1","3","1","2",2,4,7,0,1,"cnj","cnj",5,5,0
"36","2017-03-20","ms","anti-first",6,6,8,6,7,6,6,9,7,7,"2","1","3","1","1","4","1","2","4","2","1","3","1","1","2","1","3","1","1","3","2","1","2","2","1","1","1","2","3","1","1","1","1","1","1","1","3","3","1","1","1","1","1","1","1","1","1","2","3","1","3","1","1","1","1","4","2","1","1","3",1,1,3,0,1,"cnj","cnj",7,7.66666666666667,-0.666666666666667
"37","2017-03-20","ms","anti-first",8,8,9,4,9,9,9,5,7,7,"3","1","5","1","1","5","1","1","1","1","5","1","3","5","1","1","2","1","1","1","2","1","1","1","1","5","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",1,1,6,0,1,"cnj","cnj",7.33333333333333,6.33333333333333,1
"38","2017-03-20","ms","pro-first",6,6,7,8,5,8,8,7,9,7,"2","1","4","1","1","4","1","4","4","1","3","1","3","4","4","1","2","1","1","3","1","1","4","1","1","4","3","4","3","2","1","1","1","3","2","1","3","3","3","4","1","1","2","1","2","1","1","3","4","2","3","3","3","2","1","4","1","2","1","1",1,NA,NA,0,1,"cnj","cnj",6.66666666666667,7.66666666666667,-1
"39","2017-03-20","ms","pro-first",6,7,7,6,6,7,7,8,7,7,"3","1","1","1","1","4","1","1","4","1","3","2","2","3","2","2","2","1","1","2","1","2","3","1","1","3","3","2","2","1","1","1","1","1","1","1","3","3","1","1","3","1","1","1","2","1","1","1","1","1","2","1","1","1","1","3","1","1","1","2",1,1,8,0,1,"cnj","cnj",6.33333333333333,7.33333333333333,-1
"40","2017-03-20","tv","pro-first",7,6,7,7,7,7,7,7,7,7,"3","1","1","1","1","5","3","3","5","1","1","1","1","3","4","1","1","1","1","1","1","1","1","1","1","4","3","3","2","1","1","1","1","2","3","1","4","3","2","2","1","4","3","1","4","1","1","3","3","1","2","2","2","3","1","4","1","1","1","1",1,NA,8,0,1,"cnj","cnj",7,7,0
"41","2017-03-20","ms","pro-first",6,5,4,6,5,5,5,5,4,5,"1","2","1","1","1","2","1","1","1","1","2","2","1","4","2","1","4","1","3","1","1","1","4","1","1","1","1","1","1","1","1","1","1","3","1","1","1","1","1","3","2","3","1","1","1","2","1","1","2","1","1","1","1","1","1","1","1","1","1","1",2,1,7,0,1,"cnj","cnj",5,4.66666666666667,0.333333333333333
"42","2017-03-21","tv","pro-first",7,7,7,7,7,7,5,6,6,7,"1","1","1","1","1","3","1","1","4","1","2","1","2","5","2","1","2","1","1","1","1","3","4","1","1","2","1","3","1","1","1","1","1","1","1","1","3","2","2","3","2","1","1","1","2","1","1","2","1","1","3","1","1","1","1","3","1","1","4","1",1,1,4,0,1,"cnj","cnj",7,6.33333333333333,0.666666666666667
"43","2017-03-21","ms","pro-first",8,8,7,8,7,6,5,5,5,5,"1","3","2","1","1","4","1","2","3","1","2","1","1","2","1","1","2","1","1","1","1","1","3","1","2","3","1","3","3","1","1","1","1","1","2","1","4","2","1","1","1","1","1","1","1","1","1","2","2","1","3","1","2","2","1","4","1","2","2","1",1,1,6,0,1,"cnj","cnj",7.33333333333333,5,2.33333333333333
"44","2017-03-21","tv","pro-first",7,7,8,9,8,8,8,9,9,9,"3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","1","2","3","3","3","4","3","3","2","3","3","3","2","2","3","3","2","3","3","3","3","2","3","3","2","2","3","3","2","3","3","3","2","4","3","3",1,4,5,NA,1,"cnj","cnj",8.33333333333333,9,-0.666666666666666
"45","2017-03-21","tv","pro-first",9,9,7,7,7,6,2,4,4,4,"2","1","1","1","1","5","1","1","3","1","3","1","1","2","1","1","1","1","1","1","1","1","1","1","1","5","3","1","5","1","1","1","1","1","4","1","5","1","1","4","1","1","1","1","1","1","1","3","3","1","1","1","1","1","1","1","1","1","1","1",1,1,9,0,1,"cnj","cnj",7,4,3
"46","2017-03-21","tv","pro-first",8,7,7,7,6,6,5,6,6,7,"3","1","4","1","1","2","1","2","5","1","4","1","3","2","2","1","1","2","2","2","1","2","2","1","1","4","2","4","3","1","1","1","1","1","3","1","3","5","1","3","1","1","3","1","4","1","1","4","2","2","4","2","2","1","1","5","1","1","2","1",2,1,5,0,1,"cnj","cnj",6.66666666666667,6.33333333333333,0.333333333333334
"47","2017-03-21","tv","pro-first",7,7,5,5,5,3,3,3,3,3,"3","1","2","1","2","3","2","2","4","1","3","3","3","5","2","3","2","2","2","3","1","3","5","2","3","3","2","3","3","3","2","1","3","2","2","2","3","4","2","3","2","1","2","2","3","1","2","2","3","2","2","2","2","2","1","4","1","2","4","1",1,1,8,0,1,"cnj","cnj",5,3,2
"48","2017-03-21","ms","anti-first",7,8,6,5,6,6,6,7,5,4,"4","1","2","1","1","4","1","3","4","1","4","1","1","2","1","1","1","1","1","1","2","1","2","1","1","4","2","3","3","2","1","1","1","1","2","1","5","4","1","4","1","1","3","1","3","1","1","4","2","3","3","3","2","1","1","5","1","2","1","1",1,1,7,0,1,"cnj","cnj",5.66666666666667,5.33333333333333,0.333333333333334
"49","2017-03-21","ms","pro-first",7,7,6,6,7,4,3,1,1,1,"2","1","2","1","3","3","1","1","4","1","2","1","1","1","2","1","1","1","1","2","1","1","1","1","1","3","1","4","3","1","1","1","1","1","1","1","3","3","1","3","2","1","1","1","1","1","1","3","1","1","3","1","1","1","1","1","1","1","1","1",1,4,7,0,1,"cnj","cnj",6.33333333333333,1,5.33333333333333
"50","2017-03-21","tv","anti-first",6,5,7,5,6,7,7,8,8,6,"4","2","2","1","1","3","1","2","4","1","2","1","1","5","2","1","2","2","1","1","3","2","4","1","2","4","2","3","3","3","2","1","1","1","1","1","3","4","3","3","2","1","2","1","1","1","1","4","2","2","3","3","3","2","1","5","1","1","2","2",1,1,6,0,1,"cnj","cnj",6,7.33333333333333,-1.33333333333333
"51","2017-03-21","ms","pro-first",8,7,8,8,9,8,8,7,5,7,"1","2","2","2","2","3","2","2","4","2","1","1","2","3","3","2","3","3","1","1","2","4","1","1","4","2","3","2","3","2","1","1","1","1","2","1","1","2","4","4","2","3","2","2","1","1","1","2","2","3","1","2","2","1","1","3","1","1","3","2",1,1,4,0,1,"cnj","cnj",8.33333333333333,6.33333333333333,2
"52","2017-03-21","ms","pro-first",7,8,6,7,6,4,5,5,4,5,"2","1","2","1","1","4","1","3","4","1","3","1","1","5","1","5","5","1","1","1","1","2","5","1","1","3","2","4","2","1","1","1","1","1","1","1","1","3","3","4","1","2","2","1","2","1","1","4","2","1","4","2","2","1","1","5","1","1","4","1",1,1,7,0,1,"cnj","cnj",6.33333333333333,4.66666666666667,1.66666666666667
"53","2017-03-21","tv","pro-first",7,6,7,6,8,4,2,7,2,7,"2","1","1","1","1","4","1","1","2","1","1","1","1","3","1","2","1","1","1","1","1","1","3","1","1","1","1","1","1","1","1","1","1","1","1","1","3","1","1","2","1","1","1","1","1","1","1","1","1","1","2","1","1","1","1","3","1","1","2","1",1,1,4,0,1,"cnj","cnj",7,5.33333333333333,1.66666666666667
"54","2017-03-21","ms","anti-first",6,6,7,6,7,3,3,5,3,3,"2","2","2","2","1","2","1","1","4","2","2","1","1","4","3","1","3","1","2","1","2","1","4","1","1","3","2","2","2","2","1","1","1","2","1","1","4","3","1","2","2","1","1","1","1","1","1","2","1","1","3","2","1","1","2","3","1","4","4","3",1,1,6,0,1,"cnj","cnj",6.66666666666667,3.66666666666667,3
"55","2017-03-21","ms","pro-first",7,6,5,7,4,4,3,4,3,4,"2","1","2","1","1","3","1","2","3","2","2","1","1","4","2","1","2","2","2","2","2","1","3","1","1","3","2","1","2","4","1","1","1","2","1","1","4","3","1","3","1","1","1","1","1","1","1","2","2","1","4","1","1","1","2","3","1","4","3","1",1,4,7,0,1,"cnj","cnj",5.33333333333333,3.66666666666667,1.66666666666667
"56","2017-03-21","tv","pro-first",8,6,8,7,7,7,5,7,6,7,"4","1","3","1","1","5","1","2","4","1","3","1","3","5","4","2","3","3","3","1","2","1","4","1","3","4","3","2","3","3","1","1","1","3","3","1","5","4","1","3","1","1","3","1","3","1","1","3","1","3","4","3","1","1","1","4","1","5","3","1",1,2,6,0,1,"cnj","cnj",7.33333333333333,6.66666666666667,0.666666666666666
"57","2017-03-21","tv","anti-first",6,7,5,6,5,9,9,6,6,7,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",1,1,5,0,1,"cnj","cnj",5.33333333333333,6.33333333333333,-1
"58","2017-03-21","ms","pro-first",8,9,8,9,8,5,4,6,5,6,"1","4","2","1","2","2","1","1","5","2","1","3","1","3","3","1","3","1","1","4","1","5","3","1","5","1","1","1","4","1","1","2","1","1","2","4","2","5","3","2","1","4","1","1","1","3","1","2","1","2","2","1","2","3","3","4","1","1","3","1",1,1,6,0,1,"cnj","cnj",8.33333333333333,5.66666666666667,2.66666666666667
"59","2017-03-21","ms","pro-first",9,9,9,9,9,3,3,5,1,4,"3","1","1","1","2","4","2","5","2","1","4","1","1","3","4","1","1","2","1","1","2","1","4","1","3","4","4","3","3","1","1","1","1","1","5","1","2","3","3","1","1","1","3","1","1","1","1","4","1","1","2","4","1","1","1","2","3","1","1","1",1,1,6,0,1,"cnj","cnj",9,3.33333333333333,5.66666666666667
"60","2017-03-21","ms","pro-first",6,7,6,7,6,4,4,5,4,4,"2","1","1","1","1","2","1","1","1","1","1","1","1","4","2","1","3","2","1","2","1","2","3","1","1","2","2","1","1","2","1","1","1","1","1","1","2","2","1","1","2","1","1","1","1","1","1","1","1","1","2","1","1","1","1","2","1","1","3","1",1,1,7,0,1,"cnj","cnj",6.33333333333333,4.33333333333333,2
"61","2017-03-21","tv","anti-first",7,6,8,8,9,7,7,8,6,9,"4","1","4","1","1","4","2","1","5","1","5","1","1","5","3","1","1","1","1","1","2","1","5","1","2","4","4","4","4","1","1","1","1","1","3","1","5","3","2","1","1","1","3","1","3","1","1","5","1","3","5","3","5","1","1","5","1","1","5","1",1,1,9,0,1,"cnj","cnj",8.33333333333333,7.66666666666667,0.666666666666667
"62","2017-03-21","ms","pro-first",9,9,9,9,8,4,2,7,3,7,"4","2","3","1","1","3","2","3","3","2","4","2","2","5","3","1","2","4","3","2","3","3","5","1","2","4","4","4","3","2","1","2","1","3","4","3","4","2","2","4","2","3","4","1","4","2","2","4","5","3","3","5","4","2","2","3","3","1","1","2",1,1,8,0,1,"cnj","cnj",8.66666666666667,5.66666666666667,3
"63","2017-03-21","ms","pro-first",9,7,8,8,7,5,3,5,4,4,"3","1","3","1","1","4","1","3","4","1","4","1","1","2","1","1","2","1","1","2","1","1","2","1","1","4","3","4","3","1","1","1","1","1","4","1","4","2","2","3","1","1","3","1","4","1","1","4","3","2","4","3","2","1","1","4","1","1","1","1",1,1,9,0,1,"cnj","cnj",7.66666666666667,4.33333333333333,3.33333333333333
"64","2017-03-21","tv","anti-first",9,8,8,8,8,9,8,8,8,8,"1","1","1","1","1","4","1","1","3","1","1","1","1","3","1","1","2","1","1","1","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1","1","4","2","1","1","2","1","1","1","1","1","1","3","1","1","3","1","1","1","1","3","1","1","2","1",2,1,5,0,1,"cnj","cnj",8,8,0
"65","2017-03-21","ms","pro-first",7,7,8,8,7,7,6,6,6,6,"2","1","2","1","1","4","1","2","4","4","2","1","2","4","1","3","4","3","1","3","1","1","4","1","1","2",NA,"3","3","3","1","1","1","2","2","1","3","1","1","3","2","1","2","1","3","1","1","3","3","3","3","2","1","1","1","5","1","1","4","1",1,6,8,0,1,"cnj","cnj",7.66666666666667,6,1.66666666666667
"67","2017-03-21","ms","anti-first",3,4,4,4,4,7,6,5,6,6,"4","1","3","1","1","3","1","3","5","1","4","1","1","2","2","1","2","1","2","2","3","1","3","1","1","3","3","3","3","2","1","1","2","2","2","1","3","4","1","2","2","1","3","1","4","1","1","3","2","2","2","3","2","1","1","3","1","2","2","1",1,1,6,0,1,"cnj","cnj",4,5.66666666666667,-1.66666666666667
"68","2017-03-21","ms","pro-first",7,6,6,5,4,7,6,6,5,6,"4","1","3","1","1","4","1","4","4","1","4","1","1","1","1","1","1","2","1","1","4","1","1","1","1","4","2","5","5","1","1","1","1","1","4","1","5","4","1","4","1","1","5","1","4","1","1","5","5","3","5","3","3","1","1","3","1","1","1","1",1,1,3,0,1,"cnj","cnj",5,5.66666666666667,-0.666666666666667
"69","2017-03-21","tv","anti-first",6,7,5,5,6,8,8,8,8,8,"4","2","3","1","2","3","2","3","4","3","4","1","1","4","3","1","3","3","2","2","3","3","4","1","3","4","4","3","4","3","2","3","2","2","5","3","3","4","3","3","2","2","3","1","4","2","2","4","4","3","2","3","3","2","3","4","1","4","4","1",2,1,8,0,1,"cnj","cnj",5.33333333333333,8,-2.66666666666667
"70","2017-03-21","tv","anti-first",6,6,7,7,6,6,4,5,4,6,"3","1","2","1","1","3","1","1","4","1","1","1","1","4","1","1","3","1","1","2","1","2","4","1","1","3","2","1","2","1","1","1","1","1","1","1","5","3","1","1","3","1","3","1","2","1","1","3","2","1","2","3","2","1","1","3","1","1","4","1",1,1,9,0,1,"cnj","cnj",6.66666666666667,5,1.66666666666667
"71","2017-03-21","ms","anti-first",6,7,5,6,7,8,8,7,7,7,"3","4","2","4","4","3","3","4","1","2","2","5","3","4","3","3","3","4","3","2","4","4","3","4","1","3","2","5","4","2","3","1","3","3","4","1","3","2","4","3","4","5","3","2","2","4","2","3","3","2","2","1","4","4","3","2","2","3","2","3",1,1,8,0,1,"cnj","cnj",6,7,-1
"72","2017-03-21","tv","anti-first",7,7,6,6,6,7,7,5,6,5,"3","1","3","1","1","4","1","2","5","1","3","1","1","4","1","1","2","1","1","1","3","1","4","1","2","3","2","3","3","1","1","1","1","1","1","1","4","4","1","4","1","1","3","1","3","1","1","4","4","1","4","3","3","1","1","4","1","1","3","1",1,2,5,0,1,"cnj","cnj",6,5.33333333333333,0.666666666666667
"73","2017-03-21","ms","anti-first",8,8,8,8,8,6,4,5,3,5,"1","4","1","1","4","1","1","1","2","1","1","3","1","5","3","2","5","1","1","1","1","5","5","1","1","1","1","1",NA,"4","1","2","1","1","1","1","1","1","1","1","4","4","1","3","1","3","1","1","1","1","1","1","1","3","1","2","4","3","5","3",1,1,8,0,1,"cnj","cnj",8,4.33333333333333,3.66666666666667
"75","2017-03-21","tv","anti-first",6,5,6,6,5,7,6,6,6,5,"3","1","1","1","1","2","1","1","4","1","2","1","1","1","3","1","1","1","1","2","1","1","1","1","1","3","1","3","1","1","1","1","1","1","1","1","2","4","1","3","2","1","1","1","1","1","1","2","1","1","3","1","1","1","1","4","1","2","1","1",1,4,6,0,1,"cnj","cnj",5.66666666666667,5.66666666666667,0
"76","2017-03-21","tv","anti-first",6,7,6,5,5,6,5,5,5,6,"2","1","2","1","1","4","1","2","3","2","2","1","3","3","1","1","2","1","2","1","3","1","2","1","2","2","2","3","4","1","1","1","1","2","2","1","4","2","1","2","2","1","2","1","2","1","1","3","3","1","4","2","3","1","1","4","1","2","2","1",1,4,7,0,1,"cnj","cnj",5.33333333333333,5.33333333333333,0
"77","2017-03-21","tv","anti-first",7,7,7,6,6,7,7,6,5,6,"1","1","2","1","1","4","1","1","2","1","2","1","2","5","1","4","5","1","1","4","1","1","5","1","1","3","1","1","1","1","1","1","1","1","1","1","2","2","1","1","2","2","2","1","3","1","1","1","2","1","2","2","2","1","1","3","1","1","5","1",1,1,7,0,1,"cnj","cnj",6.33333333333333,5.66666666666667,0.666666666666666
"78","2017-03-21","ms","pro-first",6,6,7,6,6,6,5,5,4,5,"4","1","5","1","2","3","1","4","3","2","4","2","2","3","1","2","1","3","1","2","4","2","3","1","3","3","3","5","4","1","1","1","2","1","4","2","3","4","4","3","2","1","4","2","2","1","1","5","5","4","3","5","4","1","1","4","1","1","1","1",1,1,7,0,1,"cnj","cnj",6.33333333333333,4.66666666666667,1.66666666666667
"79","2017-03-21","ms","pro-first",6,7,5,6,7,3,1,2,1,1,"1","1","2","1","1","5","1","1","3","1","1","1","2","2","1","1","3","1","1","1","1","1","1","1","1","2","1","3","2","1","1","1","1","1","1","1","4","3","1","2","3","1","2","1","1","1","1","2","1","1","3","1","1","1","1","4","1","2","1","1",1,1,7,0,1,"cnj","cnj",6,1.33333333333333,4.66666666666667
"80","2017-03-21","ms","pro-first",8,7,6,6,5,7,6,7,5,7,"3","2","2","3","1","4","3","2","4","1","2","3","2","2","3","2","2","2","3","1","2","1","2","3","3","3","2","2","1","2","1","1","1","3","1","1","2","2","1","3","1","1","2","1","2","1","3","3","3","2","3","2","2","2","2","3","3","3","2","3",1,1,2,0,1,"cnj","cnj",5.66666666666667,6.33333333333333,-0.666666666666666
"81","2017-03-21","ms","anti-first",6,6,6,5,5,6,6,7,7,6,"2","1","2","1","1","4","1","1","3","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","1","1","1","1","1","1","1","5","2","1","1","1","1","1","1","1","1","1","4","1","1","5","1","2","1","1","2","1","1","1","1",1,1,7,0,1,"cnj","cnj",5.33333333333333,6.66666666666667,-1.33333333333333
"82","2017-03-21","ms","anti-first",7,7,8,8,8,7,7,8,8,7,"1","1","1","2","1","5","2","1","4","1","1","3","1","3","2","1","2","1","1","2","1","1","2","3","1","1","1","1","1","1","1","1","2","1","1","1","1","3","1","1","2","2","1","1","1","2","2","1","1","1","1","1","1","1","1","2","1","1","2","4",1,4,6,0,1,"cnj","cnj",8,7.66666666666667,0.333333333333333
"84","2017-03-21","tv","anti-first",7,8,8,8,8,6,4,6,3,3,"4","1","3","1","1","5","1","3","4","1","4","1","1","4","2","2","3","1","1","1","2","2","4","1","1","5","4","3","3","3","1","1","1","1","4","1","4","5","2","3","2","1","3","1","4","1","1","4","2","2","5","4","2","1","1","2","2","4","4","2",1,1,7,0,1,"cnj","cnj",8,4,4
"85","2017-03-21","ms","pro-first",6,6,7,5,4,4,3,2,1,3,"1","1","1","1","1","3","1","1","4","1","1","1","1","5","1","1","5","1","1","2","1","2","5","1","1","2","1","3","2","1","1","1","1","1","1","1","3","3","2","2","2","1","2","1","1","1","1","3","1","1","4","2","1","1","1","5","1","2","5","1",1,1,6,0,1,"cnj","cnj",5.33333333333333,2,3.33333333333333
"86","2017-03-21","ms","anti-first",8,8,7,7,7,7,6,6,4,5,"1","4","2","4","4","2","3","1","3","3","1","3","2","5","5","1","5","1","3","5","1","3","5","3","1","2","1","2","3","4","3","2","3","3","2","1","1","1","1","1","5","5","1","2","1","3","2","2","1","1","1","2","2","5","2","2","3","2","4","4",1,1,7,0,1,"cnj","cnj",7,5,2
"87","2017-03-21","tv","anti-first",7,7,6,6,7,6,6,6,3,5,"3","1","1","1","1","4","1","1","3","1","3","1","1","4","4","1","2","1","1","1","1","1","4","1","1","4","2","1","1","1","1","1","1","1","1","1","4","1","1","1","1","1","1","1","1","1","1","2","1","1","4","1","1","1","1","3","1","1","2","1",2,4,8,0,1,"cnj","cnj",6.33333333333333,4.66666666666667,1.66666666666667
"88","2017-03-21","tv","anti-first",5,5,6,5,5,4,4,3,5,3,"1","1","4","1","1","4","1","1","5","1","1","1","1","5","1","1","3","1","1","1","1","1","5","1","1","2","1","3","3","1","1","1","1","1","1","1","3","3","1","1","1","1","1","1","1","1","1","2","1","1","4","1","1","1","1","3","1","1","2","1",1,6,7,0,1,"cnj","cnj",5.33333333333333,3.66666666666667,1.66666666666667
"89","2017-03-21","ms","pro-first",7,7,7,8,8,7,7,6,6,8,"3","1","3","1","1","4","1","2","3","1","1","1","1","4","1","1","1","1","1","1","1","1","4","1","1","2","2","1","1","3","1","1","1","1","1","1","1","2","1","2","1","1","1","1","1","1","1","2","1","1","2","2","1","1","1","4","1","3","3","1",1,4,7,0,1,"cnj","cnj",7.66666666666667,6.66666666666667,1
"90","2017-03-21","tv","pro-first",7,7,6,7,5,4,3,5,4,5,"1","2","1","2","1","1","1","1","4","1","1","2","1","4","3","1","5","1","2","3","1","2","4","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","3","1","2","3","1","2","1","1","1","1","1","1","1","1","1","2","1","4","2","1","3","2",1,1,6,0,1,"cnj","cnj",6,4.66666666666667,1.33333333333333
"91","2017-03-21","tv","anti-first",8,5,7,6,7,9,9,6,7,7,"3","3","1","1","1","1","1","1","4","1","1","1","2","5","5","3","5","1","5","2","1","4","5","1","1","1","1","3","2","5","1","2","1","5","1","1","2","4","5","5","3","3","1","1","2","1","1","1","3","1","1","1","1","2","2","5","1","5","5","1",1,1,3,0,1,"cnj","cnj",6.66666666666667,6.66666666666667,0
"92","2017-03-21","ms","anti-first",6,7,6,8,7,6,5,6,4,7,"3","1","2","1","1","4","1","2","4","1","3","1","1","3","2","2","2","1","1","3","1","2","3","1","1","3","1","3","3","2","1","1","1","1","2","1","4","3","1","2","2","1","3","1","3","1","1","3","1","2","4","2","3","1","1","4","1","1","2","1",1,1,4,0,1,"cnj","cnj",7,5.66666666666667,1.33333333333333
"93","2017-03-21","ms","pro-first",7,6,8,6,7,7,6,6,6,7,"2","1","1","1","2","3","1","1","1","1","1","1","1","4","2","1","2","1","1","2","1","2","2","1","1","1","1","1","2","1","1","1","1","1","1","1","1","1","1","1","2","1","1","1","1","1","1","1","1","1","3","1","1","1","1","1","1","1","1","1",1,1,6,0,1,"cnj","cnj",7,6.33333333333333,0.666666666666667
"94","2017-03-22","ms","pro-first",7,8,7,6,6,3,2,4,1,3,"1","2","3","1","1","4","1","1","4","1","1","2","1","4","2","1","2","1","4","1","2","2","5","1","3","2","2","3","4","1","1","1","1","3","1","1","3","4","3","2","2","2","2","1","1","1","1","4","1","1","4","3","3","1","1","5","1","1","1","1",1,1,8,0,1,"cnj","cnj",6.33333333333333,2.66666666666667,3.66666666666667
"95","2017-03-22","ms","pro-first",6,7,7,5,6,6,5,5,4,5,"1","2","3","2","1","1","1","2","3","4","1","1","1","2","2","1","2","1","1","3","1","2","2","1","1","2","2","3","2","1","1","1","1","1","2","1","1","2","2","2","3","2","2","1","1","1","1","3","1","2","1","2","1","2","2","3","2","1","2","2",1,1,8,0,1,"cnj","cnj",6,4.66666666666667,1.33333333333333
