"","session_id","referrer","scalesgroup","scales"
"4378",2454871,"qccuny","low category scale","less than 2 1/2 hrs"
"4379",2454875,"qccuny","low category scale","less than 2 1/2 hrs"
"4380",2454880,"qccuny","high category scale","more than 2 1/2 hrs"
"4381",2454887,"qccuny","high category scale","more than 2 1/2 hrs"
"4382",2454953,"qccuny","low category scale","less than 2 1/2 hrs"
"4383",2458773,"qccuny","low category scale","less than 2 1/2 hrs"
"4384",2458792,"qccuny","high category scale","less than 2 1/2 hrs"
"4385",2458793,"qccuny","low category scale","less than 2 1/2 hrs"
"4386",2458871,"qccuny","high category scale","more than 2 1/2 hrs"
"4387",2458873,"qccuny","high category scale","more than 2 1/2 hrs"
"4388",2458876,"qccuny","high category scale","less than 2 1/2 hrs"
"4389",2458906,"qccuny","low category scale","less than 2 1/2 hrs"
"4390",2458992,"qccuny","low category scale","less than 2 1/2 hrs"
"4392",2459011,"qccuny","low category scale","less than 2 1/2 hrs"
"4393",2459017,"qccuny","low category scale","less than 2 1/2 hrs"
"4394",2460980,"qccuny","low category scale","less than 2 1/2 hrs"
"4395",2460982,"qccuny","high category scale","less than 2 1/2 hrs"
"4396",2460988,"qccuny","low category scale","less than 2 1/2 hrs"
"4397",2461079,"qccuny","low category scale","less than 2 1/2 hrs"
"4398",2461192,"qccuny","high category scale","more than 2 1/2 hrs"
"4399",2461195,"qccuny","high category scale","less than 2 1/2 hrs"
"4400",2461359,"qccuny","high category scale","more than 2 1/2 hrs"
"4401",2465670,"qccuny","high category scale","less than 2 1/2 hrs"
"4402",2465683,"qccuny","low category scale","less than 2 1/2 hrs"
"4403",2466121,"qccuny","low category scale","less than 2 1/2 hrs"
"4404",2466123,"qccuny","low category scale","less than 2 1/2 hrs"
"4405",2466125,"qccuny","low category scale","less than 2 1/2 hrs"
"4406",2468372,"qccuny","high category scale","more than 2 1/2 hrs"
"4407",2468381,"qccuny","high category scale","less than 2 1/2 hrs"
"4408",2468429,"qccuny","low category scale","less than 2 1/2 hrs"
"4409",2468430,"qccuny","high category scale","more than 2 1/2 hrs"
"4410",2468439,"qccuny","low category scale","more than 2 1/2 hrs"
"4411",2468449,"qccuny","high category scale","less than 2 1/2 hrs"
"4412",2469494,"qccuny","low category scale","less than 2 1/2 hrs"
"4413",2469495,"qccuny","high category scale","more than 2 1/2 hrs"
"4414",2469498,"qccuny","high category scale","less than 2 1/2 hrs"
"4415",2469526,"qccuny","high category scale","less than 2 1/2 hrs"
"4417",2469845,"qccuny","low category scale","more than 2 1/2 hrs"
"4418",2469848,"qccuny","low category scale","less than 2 1/2 hrs"
"4419",2469854,"qccuny","low category scale","less than 2 1/2 hrs"
"4420",2470430,"qccuny","low category scale","less than 2 1/2 hrs"
"4421",2470432,"qccuny","high category scale","less than 2 1/2 hrs"
"4422",2472217,"qccuny","low category scale","less than 2 1/2 hrs"
"4423",2472226,"qccuny","low category scale","less than 2 1/2 hrs"
"4424",2472339,"qccuny","high category scale","less than 2 1/2 hrs"
"4425",2472340,"qccuny","high category scale","less than 2 1/2 hrs"
"4426",2472380,"qccuny","high category scale","more than 2 1/2 hrs"
"4427",2472440,"qccuny","high category scale","less than 2 1/2 hrs"
"4428",2472457,"qccuny","high category scale","less than 2 1/2 hrs"
"4429",2473367,"qccuny","high category scale","more than 2 1/2 hrs"
"4430",2473368,"qccuny","high category scale","less than 2 1/2 hrs"
"4431",2473414,"qccuny","low category scale","less than 2 1/2 hrs"
"4432",2473484,"qccuny","high category scale","less than 2 1/2 hrs"
"4433",2473485,"qccuny","low category scale","less than 2 1/2 hrs"
